IIN,State/Province/Territory,Abbreviation,Country
636033,Alabama,AL,USA
636059,Alaska,AK,USA
604432,Alberta,AB,CANADA
604427,American Samoa,AS,USA
636026,Arizona,AZ,USA
636021,Arkansas,AR,USA
636028,British Columbia,BC,CANADA
636014,California,CA,USA
636056,Coahuila,CU,MEXICO
636020,Colorado,CO,USA
636006,Connecticut,CT,USA
636011,Delaware,DE,USA
636043,District of Columbia,DC,USA
636010,Florida,FL,USA
636055,Georgia,GA,USA
636019,Guam,GU,USA
636047,Hawaii,HI,USA
636057,Hidalgo,HL,MEXICO
636050,Idaho,ID,USA
636035,Illinois,IL,USA
636037,Indiana,IN,USA
636018,Iowa,IA,USA
636022,Kansas,KS,USA
636046,Kentucky,KY,USA
636007,Louisiana,LA,USA
636041,Maine,ME,USA
636048,Manitoba,MB,CANADA
636003,Maryland,MD,USA
636002,Massachusetts,MA,USA
636032,Michigan,MI,USA
636038,Minnesota,MN,USA
636051,Mississippi,MS,USA
636030,Missouri,MO,USA
636008,Montana,MT,USA
636054,Nebraska,NE,USA
636049,Nevada,NV,USA
636017,New Brunswick,NB,CANADA
636039,New Hampshire,NH,USA
636036,New Jersey,NJ,USA
636009,New Mexico,NM,USA
636001,New York,NY,USA
636016,Newfoundland,NF,CANADA
636004,North Carolina,NC,USA
636034,North Dakota,ND,USA
604430,Northern Marianna Islands,MP,USA
636013,Nova Scotia,NS,CANADA
604433,Nunavut,NU,CANADA
636023,Ohio,OH,USA
636058,Oklahoma,OK,USA
636012,Ontario,ON,CANADA
636029,Oregon,OR,USA
636025,Pennsylvania,PA,USA
604426,Prince Edward Island,PE,CANADA
604431,Puerto Rico,PR,USA
604428,Quebec,QC,CANADA
636052,Rhode Island,RI,USA
636044,Saskatchewan,SK,CANADA
636005,South Carolina,SC,USA
636042,South Dakota,SD,USA
636027,State Dept. (Diplomatic),,USA
636053,Tennessee,TN,USA
636015,Texas,TX,USA
636040,Utah,UT,USA
636024,Vermont,VT,USA
636062,Virgin Islands,VI,USA
636000,Virginia,VA,USA
636045,Washington,WA,USA
636061,West Virginia,WV,USA
636031,Wisconsin,WI,USA
636060,Wyoming,WY,USA
604429,Yukon,YT,CANADA
